序號,大分類,費率編號,行業類別,行業別費率％,上下班費率％,職災費率％
1,農、林、漁、牧業,1,農、林、牧業,0.15,0.07,0.22
2,農、林、漁、牧業,2,漁業,0.12,0.07,0.19
3,礦業及土石採取業,3,石油及天然氣礦業、砂、石採取及其他礦業,0.86,0.07,0.93
4,製造業,4,食品及飼品、飲料及菸草製造業,0.13,0.07,0.2
5,製造業,5,紡織業（紡織品製造業除外）,0.12,0.07,0.19
6,製造業,6,紡織品製造業,0.09,0.07,0.16
7,製造業,7,成衣及服飾品製造業,0.07,0.07,0.14
8,製造業,8,皮革、毛皮及其製品製造業,0.11,0.07,0.18
9,製造業,9,木竹製品及家具製造業,0.35,0.07,0.42
10,製造業,10,紙漿、紙及紙製品製造業,0.3,0.07,0.37
11,製造業,11,印刷及資料儲存媒體複製業,0.12,0.07,0.19
12,製造業,12,石油及煤製品、化學材料及肥料、其他化學製品、藥品及醫用化學製品製造業,0.13,0.07,0.2
13,製造業,13,橡膠製品、塑膠製品製造業,0.17,0.07,0.24
14,製造業,14,非金屬礦物製品製造業,0.32,0.07,0.39
15,製造業,15,基本金屬製造業,0.34,0.07,0.41
16,製造業,16,金屬製品製造業（金屬刀具、手工具及模具、金屬容器製造業除外）,0.26,0.07,0.33
17,製造業,17,金屬刀具、手工具及模具、金屬容器製造業,0.18,0.07,0.25
18,製造業,18,電子零組件、電腦、電子產品及光學製品、電力設備及配備製造業,0.04,0.07,0.11
19,製造業,19,機械設備製造業、產業用機械設備維修及安裝業,0.18,0.07,0.25
20,製造業,20,汽車及其零件、其他運輸工具及其零件製造業,0.17,0.07,0.24
21,製造業,21,其他製造業,0.11,0.07,0.18
22,電力及燃氣供應業,22,電力及燃氣供應業,0.18,0.07,0.25
23,用水供應及污染整治業,23,廢水及污水處理業、廢棄物清除、處理及資源物回收處理業、污染整治業,0.29,0.07,0.36
24,用水供應及污染整治業,24,用水供應業,0.15,0.07,0.22
25,營建工程業,25,建築工程業,0.51,0.07,0.58
26,營建工程業,26,土木工程業,0.28,0.07,0.35
27,營建工程業,27,庭園景觀工程業,0.34,0.07,0.41
28,營建工程業,28,專門營造業（庭園景觀工程業；機電、管道及其他建築設備安裝業除外）,0.41,0.07,0.48
29,營建工程業,29,機電、管道及其他建築設備安裝業,0.38,0.07,0.45
30,批發及零售業,30,批發業,0.1,0.07,0.17
31,批發及零售業,31,零售業,0.09,0.07,0.16
32,運輸及倉儲業,32,陸上運輸業,0.32,0.07,0.39
33,運輸及倉儲業,33,水上運輸業,0.78,0.07,0.85
34,運輸及倉儲業,34,航空運輸業,0.12,0.07,0.19
35,運輸及倉儲業,35,報關業及船務代理業,0.09,0.07,0.16
36,運輸及倉儲業,36,運輸輔助業（報關業及船務代理業、陸上運輸輔助業除外）、倉儲業,0.14,0.07,0.21
37,運輸及倉儲業,37,陸上運輸輔助業,0.12,0.07,0.19
38,運輸及倉儲業,38,郵政及遞送服務業,0.11,0.07,0.18
39,住宿及餐飲業,39,住宿業、餐飲業,0.1,0.07,0.17
40,出版影音及資通訊業,40,出版業、影片及電視節目業、聲音錄製及音樂發行業、廣播、電視節目編排及傳播業,0.05,0.07,0.12
41,出版影音及資通訊業,41,電信業,0.05,0.07,0.12
42,出版影音及資通訊業,42,電腦程式設計、諮詢及相關服務業、資訊服務業,0.04,0.07,0.11
43,金融及保險業,43,金融服務業、保險業、證券期貨及金融輔助業,0.04,0.07,0.11
44,不動產業,44,不動產開發業、不動產經營及相關服務業,0.08,0.07,0.15
45,專業、科學及技術服務業,45,法律及會計服務業、企業總管理機構及管理顧問業、建築、工程服務及技術檢測、分析服務業、廣告業及市場研究業、專門設計業、獸醫業、其他專業、科學及技術服務業,0.07,0.07,0.14
46,專業、科學及技術服務業,46,研究發展服務業,0.05,0.07,0.12
47,支援服務業,47,旅行及其他相關服務業,0.06,0.07,0.13
48,支援服務業,48,租賃業、人力仲介及供應業、保全及偵探業、建築物及綠化服務業、行政支援服務業,0.15,0.07,0.22
49,公共行政及國防；強制性社會安全,49,公共行政及國防、強制性社會安全、國際組織及外國機構,0.1,0.07,0.17
50,教育業,50,教育業,0.04,0.07,0.11
51,醫療保健及社會工作服務業,51,醫療保健業、居住型照顧服務業、其他社會工作服務業,0.04,0.07,0.11
52,藝術、娛樂及休閒服務業,52,創作及藝術表演業、圖書館、檔案保存、博物館及類似機構、博弈業、運動、娛樂及休閒服務業,0.08,0.07,0.15
53,其他服務業,53,宗教、職業及類似組織,0.06,0.07,0.13
54,其他服務業,54,個人及家庭用品維修業,0.15,0.07,0.22
55,其他服務業,55,未分類其他服務業,0.11,0.07,0.18
